question,answer
"Какое уникальное подразделение вошло в «Спецстрой»?","УНР-304 «Подземканалстрой», проходившее каналы щитами Ø 1,88 м на глубине метро."
"С какой даты Каплан возглавил плановый отдел крупнейшего треста № 20?","С 19 мая 1960 года."
"Назовите ключевые объекты, построенные трестом № 20.","Цехи Кировского завода, РТИ, «Красный Треугольник», Балтийский завод и стапели, павильоны Ленэкспо, Морской вокзал, жилые кварталы проспекта Стачек, Наличной ул. и др."
"Сколько единиц имел трест № 20 и какой жилищный фонд обслуживал его ЖКХ?","14 подразделений; жилищно-коммунальное хозяйство содержало 200 000 м² жилья."
"Какие два «невыполнимых» задания поставил К. А. Глуховской перед Капланом?","(1) исключить из годового плана 38 000 м² жилья, привязанных к недостроенному ДСК-3; (2) выбить премию за ввод убыточного щебёночного карьера в Кузнечном."
"Как Каплан решил задачу с планом ввода жилья?","Перераспределил объём по другим трестам, убедив их взять по одному дому, и сохранил общий городской план."
"Каким способом была получена премия за карьер Кузнечное?","В Госплане пересчитали смету как горнокапитальные работы (18 млн ₽ вместо 8 млн), убыток превратился в экономию и банк согласовал выплату."
"Когда семья Капланов получила собственную квартиру?","В конце 1960 года, после успешного выполнения обоих заданий."
"Какую должность занимала Наталья Каплан в Главленинградстрое и за что отвечала?","Начальник отдела статистики и экономического анализа; сводила отчётность трестов и ДСК и готовила решения горисполкома о вводе объектов."
"Кто такой Корнелий Аркадьевич Глуховской?","Легендарный управляющий трестом № 20, затем первый заместитель начальника Главленинградстроя; научный автор сводов-оболочек."
"Какое главное нововведение Александра Александровича Сизова на посту начальника Главленинградстроя?","Продвижение домостроительных комбинатов (ДСК) — конвейерной системы крупнопанельного жилья, впервые внедрённой в Ленинграде в 1961 году."
"Какую экономическую проблему пришлось решать при создании ДСК?","Нужно было исключить из плана 8 млн м³ железобетона заводов ЖБИ и снизить норму производительности труда на 2,5 %."
"Кто помог Каплану организовать встречу в Госплане для утверждения Положения о ДСК?","Начальник отдела капитальных вложений А. Н. Балакин устроил приём у первого зампреда Госплана Василия Яковлевича Исаева."
"Когда постановлением Правительства СССР было утверждено Положение о домостроительных комбинатах (ДСК)?","21 мая 1961 года, после того как Л. М. Каплан на переговорах в Госплане убедил первого зампреда В. Я. Исаева поддержать проект."
"Сколько ДСК создали в Ленинграде и сколько жилья они строили?","Шесть комбинатов, выпускавших около 1,5 млн м² жилья ежегодно; позднее их опыт тиражировался — в СССР появилось более 250 ДСК."
"Что такое ПСОКД и кто им руководил?","Ленинградские ДСК объединили в проектно-строительное объединение крупнопанельного домостроения (ПСОКД) во главе с А. Н. Сулемой."
"Какую систему расчётов за стройработы ввели Каплан и Сизов?","Оплата только за полностью законченный дом без промежуточных авансов; это обеспечило равномерный ввод по 25 % жилья в каждый квартал года."
"В чём суть «белорусского эксперимента» Ю. Н. Рахманова?","Оплата укрупнёнными этапами (фундамент, колонны, кровля и т.п.); модель легла в основу показателя товарной строительной продукции (ТСП) по всей стране."
"Когда и о чём Л. М. Каплан защитил кандидатскую диссертацию?","В 1962 г. (утверждена ВАК в 1964 г.) — методика расчёта строительной продукции по степени готовности, то есть о превращении работ в «товар»."
"За какую разработку Каплан получил серебряную медаль ВДНХ?","За систему оперативно-производственного планирования «карты готовности», внедрённую в трестах № 20 и № 87."
"Как называется первая книга Каплана и когда она вышла?","«Оперативно-производственное планирование в строительно-монтажных организациях» (1964 г.), написана с Л. Л. Шапиро."
"Куда состоялась первая зарубежная поездка Каплана и в каком году?","Весной 1960 года он посетил Польшу и Чехословакию; выезд сопровождали строгие партийные проверки и валютный лимит 30 руб."
"Кого Каплан называет своими главными наставниками-строителями?","Корнелия А. Глуховского и Александра А. Сизова, памятные доски которым установлены в Санкт-Петербурге."
"Когда и куда состоялась первая зарубежная поездка Л. М. Каплана?","В мае 1960 года он посетил Польшу и Чехословакию (Маршрут: Варшава → Освенцим → Краков → Прага)."
"Какие впечатления вынес Каплан из Варшавы в 1960 году?","Город оставался сильно разрушенным после войны: повсюду пустыри и обгоревшие кварталы, восстановление только начиналось."
"Что больше всего поразило Каплана при посещении концлагеря Освенцим?","Четырёхколейный железнодорожный вход, газовые камеры, груды очков и волос жертв и циничная надпись «Arbeit macht frei» — «Труд делает свободным». "
"Почему Краков избежал уничтожения, по словам Каплана?","Разведка Красной армии успела предотвратить взрыв заминированного города; историю показывают в фильме «Майор Вихрь». "
"Каковы были валютные и партийные ограничения для советских туристов в 1960-х?","Перед поездкой требовалась парткомиссия, строгая характеристика и лимит 30 руб. на обмен; совместный выезд супругов часто запрещали."
"Как оценили в Главке убыток треста № 20 по итогам 1963 года?","Трест показал −17 % вместо плановых −15 %; убыток возник из-за строительства без оплаты детского театра «Солнышко», но взыскания с Каплана не последовало."
"Когда Каплан ушёл из треста № 20 в науку и на какую должность?","29 сентября 1964 года он стал доцентом кафедры статистики Ленинградского финансово-экономического института (ЛФЭИ)."
"Кто стал научным наставником Каплана в ЛФЭИ?","Профессор Александр Исаакович Ротштейн — основоположник промышленной статистики в СССР, автор «Очерков промышленной статистики СССР». "
"Чем отличались лекции Ротштейна, по воспоминаниям Каплана?","Он преподавал без конспекта, с живыми примерами и юмором, подчёркивал, как неверные показатели искажают экономику."
"Как Каплан относился к экзаменационным двойкам?","Считал их ненужными: спрашивал по существу и предпочитал не заваливать студентов, чтобы избежать нескончаемых пересдач."
"Когда и куда пришёлся первый зарубежный вояж Льва Каплана?","В мае 1960 года он впервые выехал за границу — в Польшу и Чехословакию (Маршрут: Варшава → Освенцим → Краков → Прага)."
"Какие ограничения действовали для советского туриста в 1960 году?","Выезд утверждала парткомиссия, супругов часто делили по разным группам, валютный лимит составлял 30 рублей, а характеристику надо было сдавать без единой помарки."
"Какое впечатление оставил концлагерь Освенцим?","Каплан называет его «фабрикой смерти»: четырёхколейный въезд, газовые камеры, горы женских волос и очков, циничная надпись «Arbeit macht frei»."
"Где Лев Каплан впервые увидел стриптиз?","В ночном клубе Кракова во время той же поездки 1960 года."
"Почему трест № 20 показал убыток −17 % по итогам 1963 года?","Без оплаты построили детский театр «Солнышко» в Солнечном городке, возведённый по личной инициативе А.\u00A0А. Сизова."
"Когда Каплан перешёл на преподавательскую работу и в какой вуз?","29 сентября 1964 года стал доцентом кафедры статистики Ленинградского финансово-экономического института (ЛФЭИ)."
"Какой новый курс он ввёл для студентов пятого курса?","«Статистика капитального строительства», впервые разделив предмет на капитальные вложения, строительное производство и проектирование."
"Почему в 1966 году Каплан сменил ЛФЭИ на ЛИЭИ?","Ему предложили возглавить строительный блок на новом факультете организаторов производства в Ленинградском инженерно-экономическом институте."
"Каких будущих докторов наук он подготовил в ЛИЭИ?","Среди слушателей были Вячеслав В. Бузырев и Вадим С. Кулибанов, оба впоследствии защитили докторские диссертации под его научным руководством."
"Что поразило Каплана на стройке ВАЗа в Тольятти?","Массовое применение сборных металлических конструкций вместо привычного ЖБИ."
"Какой пример ранней автоматизации строительства он увидел на Киевском ДСК?","ЭВМ «Наири» управляли производством, а на грузовиках с панелями стояли датчики слежения — плюс использовалась его же методика оптимального календарного планирования."
"Что представлял собой «научный туризм» в СССР?","Лекции и защиты диссертаций с оплачиваемыми поездками по стране; пример — командировки в Ташкент, Самарканд и Бухару в 1960-е."
"Какое ЧП произошло с ним зимой на озере Чебаркуль?","Он заблудился на лыжах при −20 °C и чудом вышел к шоссе после ночёвки у случайных сельчан."
"Сколько городов Дальнего Востока он объехал летом 1967 года?","За месяц прочитал лекции в Хабаровске, Владивостоке, Южно-Сахалинске, Петропавловске-Камчатском, Комсомольске-на-Амуре и Благовещенске."
"Какую экстремальную ситуацию пережил на Камчатке?","Ночью попал под землетрясение силой 5 баллов, приняв качание люстры за «реакцию на водку». "
"Из-за чего Каплана в 1971 году отстранили от преподавания в ЛИЭИ?","Комитет народного контроля обнаружил, что он за плату консультировал два треста Минтрансстроя; в СССР считалось, что учёные должны помогать «бесплатно». "
"Когда он покинул ЛИЭИ?","31 октября 1971 года, через месяц после лишения педагогической нагрузки."
"Куда Каплан направился после ухода из ЛИЭИ?","Принял приглашение Валерия А. Бункина создать «с нуля» новый институт повышения квалификации (подробности — в следующей главе)."
"Какую главную мысль о статистике строительства продвигал Каплан?","Нельзя считать квадратные метры кровли товаром; оплата должна идти за готовый дом, что стимулирует равномерный ввод и качество."
"Как он относился к выставлению двоек студентам?","Считал бессмысленным «заваливать» экзамены: спрашивал по существу и избегал множить пересдачи."
"Что такое ЛИМТУ и когда он был создан?","Ленинградский институт методов и техники управления (ЛИМТУ) организован в 1971 г. в составе объединения «Ленэлектронмаш» Минприбора СССР для подготовки кадров по автоматизированным системам управления (АСУ)."
"Какую должность получил Лев Каплан при создании ЛИМТУ?","С 1 ноября 1971 г. он назначен заведующим кафедрой управления и экономики строительства на факультете городского хозяйства."
"Где размещался ЛИМТУ в первые годы?","В здании бывшей школы (Московский проспект 202); коллектив собственноручно превращал классы в аудитории."
"Кто был ректором-основателем ЛИМТУ?","Валерий Алексеевич Бункин, ранее инструктор обкома КПСС."
"Почему большинство профессоров ЛИМТУ пришли с Военно-морского флота?","У офицеров ВМФ уже был опыт кибернетики, вычислительной техники и дисциплины, нужных для АСУ; их активно приглашали заведовать кафедрами."
"Кто возглавил кафедру технических средств АСУ?","Капитан 1-го ранга В. Ю. Ралль."
"Как звали вице-адмирала-декана факультета городского хозяйства?","Дмитрий Львович Кутай, бывший заместитель командующего Северным флотом."
"Сколько специалистов прошло через кафедру Каплана?","Более 20 000 руководителей и инженеров строительных организаций СССР."
"Какие шесть потоков обучения организовал Л. М. Каплан?","① Управляющие трестов и ДСК; ② главные инженеры трестов; ③ начальники СУ; ④ главные инженеры СУ; ⑤ начальники участков и прорабы; ⑥ разработчики и эксплуатационщики АСУ."
"Сколько длилось обучение и чем завершалось?","Один месяц с отрывом от работы; итогом была защита выпускной работы на материалах своей организации."
"Из каких пяти модулей состояла программа для руководителей компаний?","Управление, экономика, автоматизация, технические средства, гражданская оборона."
"Кто из будущих лидеров города читал гостевые лекции в 1990-е?","Анатолий А. Собчак и Владимир В. Путин (тогда вице-мэр и глава комитета по внешним связям)."
"Как ЛИМТУ обеспечивал набор слушателей?","Управление кадров Ленгорисполкома ежегодно направляло списки строителей; позже присоединялись Минтяжстрой, Минмонтажспецстрой и другие ведомства."
"На каком принципе работал институт?","Полная самоокупаемость и хозрасчёт с прибылью и премиями для сотрудников."
"Кто был первым преподавателем, принятым Капланом в штат кафедры?","Александр Ефремович Аврутин — его бывший студент-отличник, впоследствии кандидат наук и заместитель заведующего кафедрой."
"Какую проблему пришлось решать при защите докторской диссертации Каплана?","После успешной защиты в ЛФЭИ (май 1980 г.) в ВАК посыпались анонимные доносы и два «чёрных» отрицательных отзыва, что задержало утверждение учёной степени."
"Чему была посвящена докторская диссертация Льва Каплана (1979 г.)?","«Проблемы статистики продукции строительного производства в условиях экономической реформы» — теория товара в строительстве, переход от затратной к результатной модели и вопросы учёта, оценки, индексов и качества."
"Когда Льва Каплана назначили заведовать кафедрой управления и экономики строительства в ЛИМТУ?","1 ноября 1971 года, сразу после создания института."
"Где находился только что открытый ЛИМТУ?","В бывшем здании средней школы по адресу Московский проспект 202; аудитории пришлось обустраивать собственными силами."
"Почему большинство профессоров нового института пришли из Военно-морского флота?","У офицеров ВМФ уже был опыт работы с кибернетикой, вычислительной техникой и АСУ, а также дисциплина и организаторские навыки."
"Сколько крупных потоков слушателей организовал Каплан и каких?","Шесть: управляющие трестов и ДСК; главные инженеры трестов; начальники СУ; главные инженеры СУ; начальники участков и прорабы; разработчики и эксплуатанты АСУ."
"Сколько специалистов прошли через кафедру за 25 лет?","Более 20 000 руководителей и инженеров строительных организаций со всей страны."
"Из каких пяти модулей состояла программа для руководителей трестов?","Управление, экономика, автоматизация, технические средства и гражданская оборона."
"Кого из будущих лидеров города приглашали читать лекции в ЛИМТУ?","Анатолия А. Собчака и Владимира В. Путина (тогда вице-мэра и главу комитета по внешним связям)."
"Как кафедра обеспечивала постоянный набор слушателей?","Ленгорисполком ежегодно направлял списки строителей; позже подключились Главзапстрой, Минтяжстрой и Минмонтажспецстрой СССР."
"За какое высказывание Каплана едва не наказали в обкоме КПСС, и кто его спас?","Он сравнил страну с «разбомбленной территорией» из-за объёма незавершёнки; конфликт погасил замзавотделом обкома В.,С. Кулибанов."
"Как называлась первая версия докторской диссертации Каплана и почему он снял её с рассмотрения?","«Проблемы статистики продукции строительного производства…» (1979); снята, чтобы избежать заведомого провала после клеветнических отзывов."
"Под каким новым названием работа была защищена повторно и с каким результатом?","«Экономико-статистическое исследование строительной продукции»; 15 голосов «за», 0 «против» (НИИ статистики ЦСУ СССР)."
"Как неожиданно поддержал диссертацию В.,П. Красовский из АН СССР?","Дал восторженный отзыв: «Работа обращена в будущее страны и должна быть утверждена». Это решило исход в ВАК."
"В каком году Каплан получил учёную степень доктора экономических наук?","В 1985 году, после пятилетней тяжбы с ВАК."
"Какое серьёзное здоровье испытание он перенёс сразу после утверждения?","В октябре 1985 года перенёс инсульт, месяц лечился, затем прошёл реабилитацию и вернулся к работе."
"Назовите две его знаковые книги до и после перестройки.","«Экономические проблемы управления строительным производством» (1983) и «Переход к рынку в инвестиционной деятельности в строительном комплексе» (1992)."
"Как Каплан оценил идею моментального отпуска цен на кирпич в 1989 году?","Предупредил, что без новых заводов три монополиста лишь взвинтят цены и начнётся гиперинфляция — так и произошло."
"Какой курьёз произошёл на теплоходе «Александр Ульянов» во время дискуссии о реформах?","Пьяный депутат ГД упал за борт; его несколько часов вылавливали три теплохода."
"Кого Каплан считает своим главным покровителем в ЛИМТУ?","Ректора Валерия А.,Бункина, который принял его на работу, не обращая внимания на доносы."
"Какой принцип финансирования ввёл Каплан в ЛИМТУ?","Полная самоокупаемость и хозрасчёт — институт работал с прибылью и премиями для сотрудников."
"Что такое проект «Новая Голландия» и кто был его главным автором?","Реконструкция закрытого острова площадью 7,2 га в центре Санкт-Петербурга для общественного пользования; идею разработал архитектор Вениамин Фабрицкий."
"Какой иностранный инвестор предлагал финансировать проект «Новая Голландия»?","Французская компания SBS, построившая деловой район La Défense в Париже, готова была вложить 500 млн $."
"Какую роль играл Л. М. Каплан в подготовке контракта с SBS?","По поручению мэра А.\u00A0А. Собчака он составил российскую версию договора на 3 страницах; французская сторона принесла 338-страничный вариант с полной детализацией и штрафами."
"Почему контракт по Новой Голландии не был реализован?","Город не вывел институт имени Крылова и детали судов в установленные сроки, уплатил 800 тыс.\u00A0$ неустойки, и SBS вышла из проекта."
"Когда Л. М. Каплан впервые выехал во Францию и с какой целью?","Весной 1991 года в составе делегации Собчака подписывать контракт по Новой Голландии."
"Какой необычный сувенир попросил Каплан во французском офисе SBS?","Куклу Barbie с натуральными волосами для внучки."
"Чем запомнился Каплану митинг 19 августа 1991 года на Исаакиевской площади?","А.\u00A0А. Собчак, вернувшись из Москвы, убедил военных не вводить танки в город и провёл массовый антипутчистский митинг."
"Сколько голосов отделило Собчака от победы на губернаторских выборах 1996 года?","Около 20 тысяч голосов – победил Владимир Анатольевич Яковлев."
"Как Каплан невольно способствовал карьерному росту В. А. Яковлева?","Рекомендовал его на пост председателя комитета по управлению городским хозяйством, что стало трамплином к должности губернатора."
"Какую ключевую экономическую проблему Каплан предсказал реформаторам в 1989 году?","Опасался, что одномоментный отпуск цен при монополии трёх кирпичных заводов вызовет гиперинфляцию, а не конкуренцию – так и произошло."
"Как реагировали слушатели ЛИМТУ на критику плановой экономики, сравненную с «разбомбленной территорией»?","Один слушатель донёс в обком, но конфликт погасил замзавотделом В.\u00A0С.\u00A0Кулибанов; репрессий не последовало."
"Когда и при каких обстоятельствах Каплан пережил инсульт?","В октябре 1985 года, вскоре после утверждения докторской степени; месяц лечился, затем прошёл реабилитацию и вернулся к работе."
"Сколько лет заняла защита докторской диссертации Каплана?","Пять лет: первая версия (1979) снята из-за анонимных доносов, повторная защита прошла в 1984 году, утверждение – 1985 год."
"Какое ключевое новшество содержала докторская диссертация Л. М. Каплана?","Концепцию «товара» в строительстве и переход от оплат по затратам к расчётам за готовый объект, что стимулирует результат, а не объём работ."
"Какие пять книг по западному менеджменту издал Каплан вместе с британцами?","Серия «Западные методы менеджмента в строительной индустрии» (1992-1994) в рамках программы ТАСИС, плюс учебник по дистанционному обучению российских менеджеров."
"Кто из будущих российских лидеров читал лекции в ЛИМТУ по приглашению Каплана?","Анатолий А. Собчак и Владимир В. Путин (вице-мэр Санкт-Петербурга)."
"Каким принципом финансировался ЛИМТУ под руководством Каплана?","Полная самоокупаемость и хозяйственный расчёт: институт работал с прибылью, выплачивая сотрудникам премии."
"Сколько специалистов прошло переподготовку на кафедре управления и экономики строительства за 25 лет?","Более 20 000 руководителей и инженеров строительных организаций со всего СССР и России."
"Кто поддержал диссертацию Каплана в ВАК, дав решающий положительный отзыв?","Виктор Петрович Красовский, директор Института экономики АН СССР, назвал работу «обращённой в будущее страны»."
"Что такое Союзпетрострой?","«Союзпетрострой» — общественная некоммерческая организация строительного комплекса Петербурга; её главный капитал — налаженный за 30 лет диалог с властью. Существование обеспечивают членские взносы; Союз также ведёт Центр оценки квалификаций (ЦОК), помогает готовиться к НОК и выдаёт «Знак Доверия» компаниям, готовым открыто раскрывать информацию о себе."
"Какова основная миссия и цели Союзпетростроя?","Миссия — содействовать развитию стройотрасли, защищать интересы членов, повышать стандарты качества и безопасности. Цели: снижать административные барьеры, внедрять инновации, повышать квалификацию кадров, улучшать условия работы компаний."
"Каковы основные направления работы «Союзпетростроя»?","1) Снижение административных барьеров и изменение региональных норм 2) Повышение прозрачности и взаимодействия компаний 3) Работа над качеством строительства 4) Независимая оценка квалификации и помощь в подготовке к НОК 5) Сохранение памяти о строителях 6) Решение актуальных проблем членов, в том числе через обращения к властям 7) Повышение престижа профессии строителя."
"Как Союзпетрострой решает проблемы?","Процесс включает четыре этапа: формулирование проблемы → обсуждение и поиск вариантов → проработка проекта решения → продвижение. Участие компаний-членов требуется на всех стадиях; Союз — это инструмент коллективного решения, а не «быстрый сервис»."
"Какие требования для вступления в Союзпетрострой?","Нужно быть зарегистрированным юрлицом стройкомплекса, соответствовать стандартам качества и пройти одобрение Совета Союза; важно также быть готовым вкладывать своё время в общие задачи."
"Какие преимущества получают члены Союзпетростроя?","Инициирование обсуждения проблем и совместное их решение; инфоподдержка и продвижение; помощь в подготовке к НОК; рост потенциала компаний; защита интересов в органах власти; юридическая помощь; содействие в награждениях и решении конкретных вопросов."
"Сколько стоит членство в «Союзпетрострое»?","В 2025 г. : вступительный взнос — 20 000 ₽; годовые: специальный — 25 000 ₽, основной — 12 000 ₽, особый (проектные/изыскания) — 10 000 ₽, для ассоциаций — 50 000 ₽."
"С какими организациями сотрудничает Союзпетрострой?","С государственными органами, вузами, НИИ, испытательными лабораториями, профессиональными ассоциациями и бизнес-сообществами — для совместного решения отраслевых задач."
"Как Союзпетрострой взаимодействует с органами власти?","Участвует в разработке и экспертизе законопроектов, проводит рабочие встречи и совещания, представляет интересы членов на городском и федеральном уровне."
"Зачем участвовать в конференции по качеству строительства?","Комплексное обсуждение качества (законодательство, технологии, эксплуатация) + обмен лучшими практиками, вовлечение профильных комитетов, формирование резолюций для правительства и расширение деловых связей."
"Что такое Знак Доверия?","Отличительный знак для компаний, раскрывших сведения о себе профессиональному сообществу; свидетельствует о честности и открытости, повышает репутацию и упрощает подбор контрагентов."
"Какие преимущества даёт получение Знака Доверия?","Рост доверия клиентов; укрепление имиджа; конкурентное преимущество; маркетинговый инструмент; новые партнёрства; персональная страница на портале Союза."
"Какие организации могут получить Знак Доверия?","Любые действующие участники стройкомплекса — застройщики, подрядчики, проектные и изыскательские компании — готовые открыть информацию о себе."
"Для чего нужен Знак Доверия?","Поиск оптимальных контрагентов; цифровая координация участников проектов; эффективное использование потенциала; взаимная поддержка; прозрачность деятельности; повышение ответственности компаний."
"Каковы основные принципы Знака Доверия?","Добровольность, информационная открытость, достаточность, достоверность и актуальность сведений."
"Как Знак Доверия помогает в получении контрактов?","Заказчик публикует проект и рассылает приглашения компаниям со Знаком; подрядчики откликаются; заказчик выбирает подходящих и выходит на переговоры — процесс ускоряется благодаря проверенной информации."
"Что такое ЦОК «Союзпетрострой»?","Центр оценки квалификаций, аккредитованный СПК; проводит независимую оценку по инженерным изысканиям, проектированию, архитектуре и строительству и консультирует по подготовке к экзамену."
"Что даёт прохождение независимой оценки квалификации?","Свидетельство НОК, подтверждающее уровень профессиональной подготовки; документ обязателен работодателям по ГрК РФ и повышает конкурентоспособность специалиста."
"Какую помощь оказывает ЦОК «Союзпетрострой»?","Очные/онлайн-консультации, методматериалы, демотестирование, сопровождение до успешной сдачи экзамена."
"По каким квалификациям ЦОК проводит НОК?","НОСТРОЙ: ГИП-строительство (ур. 7), специалист по ООТ, ТС и УО (ур. 6). НОПРИЗ: ГИП-проект, ГАП, архитекторы, изыскатели (ур. 6/7) — полный перечень см. регламент."
"Сколько стоит сдать экзамен в ЦОК «Союзпетрострой»?","24 000 ₽ — строительные квалификации НОСТРОЙ; 22 000 ₽ — проектирование, архитектура, изыскания НОПРИЗ; консультация 12 000 ₽ (8 000 ₽ для членов Союза/СРО)."
"Проводится ли подготовка к экзамену НОК?","Да: очные группы ≤5 чел. (2 ч консультации), дистанционные для иногородних; материалы передаются на флеш-накопителе или по e-mail."
"Что входит в подготовку?","Консультация по теории и практике; регламент экзамена; нормативная база; доступ к онлайн-демотесту 24/7; ответы экспертов до дня экзамена."
"Кто может оплатить экзамен?","И юрлицо, и физлицо; только безналичным платежом по договору и счёту."
"Каковы требования к специалистам 7-го уровня?","Профильный диплом из перечня Минстроя + ≥3 года стажа на инженерных должностях и ≥10 лет (либо ≥5 лет) общего стажа в строительстве."
"Требования к 6-му уровню (ООТ, ТС, УО)?","Профильный ВО + ≥3 года инженерного стажа в организациях, выполняющих соответствующие виды работ."
"Какие документы нужны для НОК?","Заявление, согласие на ПД, копии паспорта, диплома, трудовой, СНИЛС, уведомление о НРС (при наличии) + оригиналы паспорта и диплома в день экзамена."
"Как проходит экзамен НОК?","Два этапа: теория (50/40 вопросов, 60-90 мин) → при успехе практика (1-2 задания или защита портфолио). Процедура фиксируется видео; работает комиссия из 3 экспертов."
"Когда выдаётся свидетельство НОК?","До 7 дн. ЦОК передаёт протокол в СПК → до 14 дн. СПК подтверждает → до 30 дн. ЦОК выдаёт свидетельство или заключение; данные вносятся в реестр НАРК."
"Можно ли подать апелляцию?","Да, в апелляционную комиссию СПК в течение 30 дней после получения результата."
"Как устроена система НОК?","СПК устанавливают правила и аттестуют экспертов, ЦОКи принимают экзамены; сведения о свидетельствах ведёт НАРК."
"Кому обязательна НОК 7-го уровня?","Каждой СРО-компании нужно минимум два специалиста НРС (строительство — НОСТРОЙ; проектирование/изыскания/архитектура — НОПРИЗ)."
"Кому обязательна НОК 6-го уровня?","С 01.09.2024 специалисты технических, энергомеханических и контрольных служб, работающие на ООТ, ТСУ и объектах атомной энергии, обязаны подтверждать квалификацию раз в 5 лет."
"Кого относят к «специалистам технических служб»?","Инженерные должности из разделов квалификационного справочника Минтруда № 37, обеспечивающие строительство, реконструкцию, капремонт, снос объектов."
"Как проверить срок нахождения в НРС?","На сайтах реестров НОСТРОЙ/НОПРИЗ: по СНИЛС (стройка) или по паспортным данным (проектирование, изыскания)."
"Можно ли получить «гарантированные» вопросы и сдачу?","Нет — Союзпетрострой принципиально работает в правовом поле; специалисту предлагают только легальную подготовку и консультации."
"Что делать, если срок НРС истёк, а исключения ещё нет?","Немедленно подать заявку и сдать НОК в ЦОК «Союзпетрострой», чтобы продлить статус до исключения из реестра не дошло."
Что такое «Союзпетрострой»?,"Некоммерческая общественная организация строительных компаний Санкт-Петербурга; главный капитал — устойчивые рабочие связи с органами власти."
Какова миссия Союзпетростроя?,"Содействовать развитию строительной отрасли, защищать интересы членов Союза и повышать стандарты качества, безопасности и деловой этики."
Каковы основные направления работы Союза?,"Снижение административных барьеров; повышение прозрачности и взаимодействия компаний; улучшение качества строительства; проведение НОК; сохранение исторической памяти; помощь членам в решении актуальных проблем; повышение престижа профессии."
Как Союзпетрострой решает проблемы?,"Через четырёхшаговый цикл: формулирование проблемы → обсуждение → проработка проекта решения → продвижение решения; обязательна активная работа компаний-членов."
Как вступить в Союз?,"Быть зарегистрированным юрлицом, работать в строительной сфере, отвечать профессиональным стандартам и пройти одобрение Совета Союза."
Какая польза членам Союза?,"Право инициировать обсуждение проблем; информационное продвижение; поддержка при НОК; защита интересов в органах власти; юридическая помощь; содействие в наградах; решение конкретных вопросов."
Сколько стоят взносы в 2025 г.?,"Вступительный — 20 000 ₽; годовые: спец — 25 000 ₽, основной — 12 000 ₽, особый (проект/изыскания) — 10 000 ₽; для ассоциаций — 50 000 ₽."
С кем сотрудничает Союз?,"С профильными комитетами Санкт-Петербурга и ЛО, федеральными ведомствами, ТПП, вузами, научными лабораториями, СПК НОПРИЗ и НОСТРОЙ."
Как Союз взаимодействует с властью?,"Участвует в разработке законопроектов, заседает в рабочих группах, готовит экспертные предложения и представляет интересы компаний на разных уровнях."
Зачем участвовать в конференции по качеству строительства?,"Для комплексного обсуждения законодательства, технологии и эксплуатации; обмена лучшими практиками; расширения деловых связей; подготовки резолюций для правительства города."
Что такое Знак Доверия?,"Маркер открытости и добросовестности компании на портале Союза; даёт доступ к сервису подбора контрагентов и повышает репутацию."
Какие преимущества даёт Знак Доверия?,"Рост доверия клиентов; усиление бренда; конкурентное преимущество; маркетинговая поддержка; новые партнёрства; персональная страница на портале."
Кто может получить Знак Доверия?,"Любая действующая компания инвестиционно-строительного комплекса, готовая раскрыть ключевую информацию о себе."
Для чего нужен Знак Доверия?,"Упрощает поиск надёжных подрядчиков, повышает прозрачность рынка и координацию участников проектов."
Каковы принципы Знака Доверия?,"Добровольность, открытость, достаточность, достоверность и актуальность предоставляемых данных."
Как Знак Доверия помогает получить контракт?,"Заказчик создаёт проект и приглашает держателей Знака; подрядчик подтверждает интерес; заказчик видит профиль и выбирает партнёров для переговоров."
Что такое ЦОК «Союзпетрострой»?,"Аккредитованный центр оценки квалификаций, проводящий независимую оценку (НОК) по строительству, проектированию, архитектуре и изысканиям."
Зачем проходить НОК?,"Чтобы подтвердить квалификацию, получить обязательное свидетельство для НРС, повысить конкурентоспособность и соответствовать требованиям ГрК РФ."
По каким квалификациям Центр проводит НОК?,"НОСТРОЙ: ГИП-строитель (7 ур.), Специалист по СОО, ТСО, УНИК (6 ур.). НОПРИЗ: ГИП-проектировщик, ГАП, ГИП-изыскатель (7 ур.) и шесть квалификаций уровня 6."
Сколько стоит экзамен НОК?,"24 000 ₽ — строительство; 22 000 ₽ — проектирование, архитектура, изыскания; консультация — 12 000 ₽ (8 000 ₽ для членов Союза/СРО)."
Есть ли подготовка к НОК?,"Да: очная/онлайн консультация эксперта, доступ к демотестам 24/7, нормативная база и сопровождение до экзамена."
Как проходит теоретический этап экзамена?,"50 вопросов (40 — для архитекторов), 60–90 мин; требуется 36/50 (30/40) правильных ответов, чтобы выйти на практику."
Что включает практический этап?,"Два задания (30–60 мин) или защита портфолио (для НОПРИЗ); оценивается экспертом по критериям СПК."
Какие документы нужны для НОК?,"Заявление, согласие на ПД, паспорт, диплом, трудовая, СНИЛС, уведомление НРС (если есть); всё в pdf плюс оригиналы на экзамене."
Когда выдают свидетельство?,"СПК подтверждает результаты ≤ 14 дней, ЦОК оформляет свидетельство и выдаёт/отправляет его ≤ 30 дней после экзамена."
Можно ли подать апелляцию?,"Да, в апелляционную комиссию СПК в течение 30 дней со дня информирования о результате."
Кто обязан пройти НОК уровня 7?,"Два specialists НРС в каждой СРО-компании: ГИП-строитель (НОСТРОЙ) или ГИП/ГАП/ГИП-изыскатель (НОПРИЗ) ‒ по профилю деятельности."
